// Made in NPC Maker by BowieD
GUID f5c47a455a2d4d95b02bfe0c9eeae790
Response_75_Rewards 1
Response_75_Reward_0_Type Quest
Response_75_Reward_0_ID 14818

Response_76_Dialogue 12136
Response_76_Quest 14818
Response_76_Conditions 1
Response_76_Condition_0_Type Quest
Response_76_Condition_0_ID 14818
Response_76_Condition_0_Status Ready
Response_76_Condition_0_Logic Equal
Response_76_Condition_0_Ignore_NPC False
Response_76_Condition_0_Reset 

Response_77_Dialogue 12136
Response_77_Quest 14818
Response_77_Conditions 1
Response_77_Condition_0_Type Quest
Response_77_Condition_0_ID 14818
Response_77_Condition_0_Status Completed
Response_77_Condition_0_Logic Equal
Response_77_Condition_0_Ignore_NPC False

Response_77_Rewards 1
Response_77_Reward_0_Type Quest
Response_77_Reward_0_ID 14818

Response_78_Dialogue 12136
Response_78_Quest 14819
Response_78_Conditions 2
Response_78_Condition_0_Type Quest
Response_78_Condition_0_ID 14819
Response_78_Condition_0_Status None
Response_78_Condition_0_Logic Equal
Response_78_Condition_0_Ignore_NPC False

Response_78_Condition_1_Type Quest
Response_78_Condition_1_ID 14044
Response_78_Condition_1_Status Completed
Response_78_Condition_1_Logic Equal
Response_78_Condition_1_Ignore_NPC False

Response_78_Rewards 1
Response_78_Reward_0_Type Quest
Response_78_Reward_0_ID 14819

Response_79_Dialogue 12136
Response_79_Quest 14819
Response_79_Conditions 1
Response_79_Condition_0_Type Quest
Response_79_Condition_0_ID 14819
Response_79_Condition_0_Status Ready
Response_79_Condition_0_Logic Equal
Response_79_Condition_0_Ignore_NPC False
Response_79_Condition_0_Reset 

Response_80_Dialogue 12136
Response_80_Quest 14819
Response_80_Conditions 2
Response_80_Condition_0_Type Quest
Response_80_Condition_0_ID 14819
Response_80_Condition_0_Status Completed
Response_80_Condition_0_Logic Equal
Response_80_Condition_0_Ignore_NPC False

Response_80_Condition_1_Type Quest
Response_80_Condition_1_ID 14044
Response_80_Condition_1_Status Completed
Response_80_Condition_1_Logic Equal
Response_80_Condition_1_Ignore_NPC False

Response_80_Rewards 1
Response_80_Reward_0_Type Quest
Response_80_Reward_0_ID 14819

Response_81_Dialogue 12136
Response_81_Quest 14820
Response_81_Conditions 2
Response_81_Condition_0_Type Quest
Response_81_Condition_0_ID 14820
Response_81_Condition_0_Status None
Response_81_Condition_0_Logic Equal
Response_81_Condition_0_Ignore_NPC False

Response_81_Condition_1_Type Quest
Response_81_Condition_1_ID 14038
Response_81_Condition_1_Status Completed
Response_81_Condition_1_Logic Equal
Response_81_Condition_1_Ignore_NPC False

Response_81_Rewards 1
Response_81_Reward_0_Type Quest
Response_81_Reward_0_ID 14820

Response_82_Dialogue 12136
Response_82_Quest 14820
Response_82_Conditions 1
Response_82_Condition_0_Type Quest
Response_82_Condition_0_ID 14820
Response_82_Condition_0_Status Ready
Response_82_Condition_0_Logic Equal
Response_82_Condition_0_Ignore_NPC False
Response_82_Condition_0_Reset 

Response_83_Dialogue 12136
Response_83_Quest 14820
Response_83_Conditions 2
Response_83_Condition_0_Type Quest
Response_83_Condition_0_ID 14820
Response_83_Condition_0_Status Completed
Response_83_Condition_0_Logic Equal
Response_83_Condition_0_Ignore_NPC False

Response_83_Condition_1_Type Quest
Response_83_Condition_1_ID 14038
Response_83_Condition_1_Status Completed
Response_83_Condition_1_Logic Equal
Response_83_Condition_1_Ignore_NPC False

Response_83_Rewards 1
Response_83_Reward_0_Type Quest
Response_83_Reward_0_ID 14820

Response_84_Dialogue 12136
Response_84_Quest 14821
Response_84_Conditions 1
Response_84_Condition_0_Type Quest
Response_84_Condition_0_ID 14821
Response_84_Condition_0_Status None
Response_84_Condition_0_Logic Equal
Response_84_Condition_0_Ignore_NPC False

Response_84_Rewards 1
Response_84_Reward_0_Type Quest
Response_84_Reward_0_ID 14821

Response_85_Dialogue 12136
Response_85_Quest 14821
Response_85_Conditions 1
Response_85_Condition_0_Type Quest
Response_85_Condition_0_ID 14821
Response_85_Condition_0_Status Ready
Response_85_Condition_0_Logic Equal
Response_85_Condition_0_Ignore_NPC False
Response_85_Condition_0_Reset 

Response_86_Dialogue 12136
Response_86_Quest 14821
Response_86_Conditions 1
Response_86_Condition_0_Type Quest
Response_86_Condition_0_ID 14821
Response_86_Condition_0_Status Completed
Response_86_Condition_0_Logic Equal
Response_86_Condition_0_Ignore_NPC False

Response_86_Rewards 1
Response_86_Reward_0_Type Quest
Response_86_Reward_0_ID 14821

Response_87_Dialogue 12136
Response_87_Quest 14822
Response_87_Conditions 1
Response_87_Condition_0_Type Quest
Response_87_Condition_0_ID 14822
Response_87_Condition_0_Status None
Response_87_Condition_0_Logic Equal
Response_87_Condition_0_Ignore_NPC False

Response_87_Rewards 1
Response_87_Reward_0_Type Quest
Response_87_Reward_0_ID 14822

Response_88_Dialogue 12136
Response_88_Quest 14822
Response_88_Conditions 1
Response_88_Condition_0_Type Quest
Response_88_Condition_0_ID 14822
Response_88_Condition_0_Status Ready
Response_88_Condition_0_Logic Equal
Response_88_Condition_0_Ignore_NPC False
Response_88_Condition_0_Reset 

Response_89_Dialogue 12136
Response_89_Quest 14822
Response_89_Conditions 1
Response_89_Condition_0_Type Quest
Response_89_Condition_0_ID 14822
Response_89_Condition_0_Status Completed
Response_89_Condition_0_Logic Equal
Response_89_Condition_0_Ignore_NPC False

Response_89_Rewards 1
Response_89_Reward_0_Type Quest
Response_89_Reward_0_ID 14822

Response_90_Dialogue 12136
Response_90_Quest 14823
Response_90_Conditions 1
Response_90_Condition_0_Type Quest
Response_90_Condition_0_ID 14823
Response_90_Condition_0_Status None
Response_90_Condition_0_Logic Equal
Response_90_Condition_0_Ignore_NPC False

Response_90_Rewards 1
Response_90_Reward_0_Type Quest
Response_90_Reward_0_ID 14823

Response_91_Dialogue 12136
Response_91_Quest 14823
Response_91_Conditions 1
Response_91_Condition_0_Type Quest
Response_91_Condition_0_ID 14823
Response_91_Condition_0_Status Ready
Response_91_Condition_0_Logic Equal
Response_91_Condition_0_Ignore_NPC False
Response_91_Condition_0_Reset 

Response_92_Dialogue 12136
Response_92_Quest 14823
Response_92_Conditions 1
Response_92_Condition_0_Type Quest
Response_92_Condition_0_ID 14823
Response_92_Condition_0_Status Completed
Response_92_Condition_0_Logic Equal
Response_92_Condition_0_Ignore_NPC False

Response_92_Rewards 1
Response_92_Reward_0_Type Quest
Response_92_Reward_0_ID 14823

Response_93_Dialogue 12136
Response_93_Quest 14824
Response_93_Conditions 2
Response_93_Condition_0_Type Quest
Response_93_Condition_0_ID 14824
Response_93_Condition_0_Status None
Response_93_Condition_0_Logic Equal
Response_93_Condition_0_Ignore_NPC False

Response_93_Condition_1_Type Quest
Response_93_Condition_1_ID 14050
Response_93_Condition_1_Status Completed
Response_93_Condition_1_Logic Equal
Response_93_Condition_1_Ignore_NPC False

Response_93_Rewards 1
Response_93_Reward_0_Type Quest
Response_93_Reward_0_ID 14824

Response_94_Dialogue 12136
Response_94_Quest 14824
Response_94_Conditions 1
Response_94_Condition_0_Type Quest
Response_94_Condition_0_ID 14824
Response_94_Condition_0_Status Ready
Response_94_Condition_0_Logic Equal
Response_94_Condition_0_Ignore_NPC False
Response_94_Condition_0_Reset 

Response_95_Dialogue 12136
Response_95_Quest 14824
Response_95_Conditions 2
Response_95_Condition_0_Type Quest
Response_95_Condition_0_ID 14824
Response_95_Condition_0_Status Completed
Response_95_Condition_0_Logic Equal
Response_95_Condition_0_Ignore_NPC False

Response_95_Condition_1_Type Quest
Response_95_Condition_1_ID 14050
Response_95_Condition_1_Status Completed
Response_95_Condition_1_Logic Equal
Response_95_Condition_1_Ignore_NPC False

Response_95_Rewards 1
Response_95_Reward_0_Type Quest
Response_95_Reward_0_ID 14824

Response_96_Dialogue 12136
Response_96_Quest 14825
Response_96_Conditions 2
Response_96_Condition_0_Type Quest
Response_96_Condition_0_ID 14825
Response_96_Condition_0_Status None
Response_96_Condition_0_Logic Equal
Response_96_Condition_0_Ignore_NPC False

Response_96_Condition_1_Type Quest
Response_96_Condition_1_ID 14032
Response_96_Condition_1_Status Completed
Response_96_Condition_1_Logic Equal
Response_96_Condition_1_Ignore_NPC False

Response_96_Rewards 1
Response_96_Reward_0_Type Quest
Response_96_Reward_0_ID 14825

Response_97_Dialogue 12136
Response_97_Quest 14825
Response_97_Conditions 1
Response_97_Condition_0_Type Quest
Response_97_Condition_0_ID 14825
Response_97_Condition_0_Status Ready
Response_97_Condition_0_Logic Equal
Response_97_Condition_0_Ignore_NPC False
Response_97_Condition_0_Reset 

Response_98_Dialogue 12136
Response_98_Quest 14825
Response_98_Conditions 2
Response_98_Condition_0_Type Quest
Response_98_Condition_0_ID 14825
Response_98_Condition_0_Status Completed
Response_98_Condition_0_Logic Equal
Response_98_Condition_0_Ignore_NPC False

Response_98_Condition_1_Type Quest
Response_98_Condition_1_ID 14032
Response_98_Condition_1_Status Completed
Response_98_Condition_1_Logic Equal
Response_98_Condition_1_Ignore_NPC False

Response_98_Rewards 1
Response_98_Reward_0_Type Quest
Response_98_Reward_0_ID 14825

Response_99_Dialogue 12136
Response_99_Quest 14826
Response_99_Conditions 1
Response_99_Condition_0_Type Quest
Response_99_Condition_0_ID 14826
Response_99_Condition_0_Status None
Response_99_Condition_0_Logic Equal
Response_99_Condition_0_Ignore_NPC False

Response_99_Rewards 1
Response_99_Reward_0_Type Quest
Response_99_Reward_0_ID 14826

Response_100_Dialogue 12136
Response_100_Quest 14826
Response_100_Conditions 1
Response_100_Condition_0_Type Quest
Response_100_Condition_0_ID 14826
Response_100_Condition_0_Status Ready
Response_100_Condition_0_Logic Equal
Response_100_Condition_0_Ignore_NPC False
Response_100_Condition_0_Reset 

Response_101_Dialogue 12136
Response_101_Quest 14826
Response_101_Conditions 1
Response_101_Condition_0_Type Quest
Response_101_Condition_0_ID 14826
Response_101_Condition_0_Status Completed
Response_101_Condition_0_Logic Equal
Response_101_Condition_0_Ignore_NPC False

Response_101_Rewards 1
Response_101_Reward_0_Type Quest
Response_101_Reward_0_ID 14826

Response_102_Dialogue 12136
Response_102_Quest 14827
Response_102_Conditions 2
Response_102_Condition_0_Type Quest
Response_102_Condition_0_ID 14827
Response_102_Condition_0_Status None
Response_102_Condition_0_Logic Equal
Response_102_Condition_0_Ignore_NPC False

Response_102_Condition_1_Type Quest
Response_102_Condition_1_ID 14035
Response_102_Condition_1_Status Completed
Response_102_Condition_1_Logic Equal
Response_102_Condition_1_Ignore_NPC False

Response_102_Rewards 1
Response_102_Reward_0_Type Quest
Response_102_Reward_0_ID 14827

Response_103_Dialogue 12136
Response_103_Quest 14827
Response_103_Conditions 1
Response_103_Condition_0_Type Quest
Response_103_Condition_0_ID 14827
Response_103_Condition_0_Status Ready
Response_103_Condition_0_Logic Equal
Response_103_Condition_0_Ignore_NPC False
Response_103_Condition_0_Reset 

Response_104_Dialogue 12136
Response_104_Quest 14827
Response_104_Conditions 2
Response_104_Condition_0_Type Quest
Response_104_Condition_0_ID 14827
Response_104_Condition_0_Status Completed
Response_104_Condition_0_Logic Equal
Response_104_Condition_0_Ignore_NPC False

Response_104_Condition_1_Type Quest
Response_104_Condition_1_ID 14035
Response_104_Condition_1_Status Completed
Response_104_Condition_1_Logic Equal
Response_104_Condition_1_Ignore_NPC False

Response_104_Rewards 1
Response_104_Reward_0_Type Quest
Response_104_Reward_0_ID 14827

Response_105_Dialogue 12136
Response_105_Quest 14828
Response_105_Conditions 2
Response_105_Condition_0_Type Quest
Response_105_Condition_0_ID 14828
Response_105_Condition_0_Status None
Response_105_Condition_0_Logic Equal
Response_105_Condition_0_Ignore_NPC False

Response_105_Condition_1_Type Quest
Response_105_Condition_1_ID 14035
Response_105_Condition_1_Status Completed
Response_105_Condition_1_Logic Equal
Response_105_Condition_1_Ignore_NPC False

Response_105_Rewards 1
Response_105_Reward_0_Type Quest
Response_105_Reward_0_ID 14828

Response_106_Dialogue 12136
Response_106_Quest 14828
Response_106_Conditions 1
Response_106_Condition_0_Type Quest
Response_106_Condition_0_ID 14828
Response_106_Condition_0_Status Ready
Response_106_Condition_0_Logic Equal
Response_106_Condition_0_Ignore_NPC False
Response_106_Condition_0_Reset 

Response_107_Dialogue 12136
Response_107_Quest 14828
Response_107_Conditions 2
Response_107_Condition_0_Type Quest
Response_107_Condition_0_ID 14828
Response_107_Condition_0_Status Completed
Response_107_Condition_0_Logic Equal
Response_107_Condition_0_Ignore_NPC False

Response_107_Condition_1_Type Quest
Response_107_Condition_1_ID 14035
Response_107_Condition_1_Status Completed
Response_107_Condition_1_Logic Equal
Response_107_Condition_1_Ignore_NPC False

Response_107_Rewards 1
Response_107_Reward_0_Type Quest
Response_107_Reward_0_ID 14828

Response_108_Dialogue 12136
Response_108_Quest 14829
Response_108_Conditions 2
Response_108_Condition_0_Type Quest
Response_108_Condition_0_ID 14829
Response_108_Condition_0_Status None
Response_108_Condition_0_Logic Equal
Response_108_Condition_0_Ignore_NPC False

Response_108_Condition_1_Type Quest
Response_108_Condition_1_ID 14042
Response_108_Condition_1_Status Completed
Response_108_Condition_1_Logic Equal
Response_108_Condition_1_Ignore_NPC False

Response_108_Rewards 1
Response_108_Reward_0_Type Quest
Response_108_Reward_0_ID 14829

Response_109_Dialogue 12136
Response_109_Quest 14829
Response_109_Conditions 1
Response_109_Condition_0_Type Quest
Response_109_Condition_0_ID 14829
Response_109_Condition_0_Status Ready
Response_109_Condition_0_Logic Equal
Response_109_Condition_0_Ignore_NPC False
Response_109_Condition_0_Reset 

Response_110_Dialogue 12136
Response_110_Quest 14829
Response_110_Conditions 2
Response_110_Condition_0_Type Quest
Response_110_Condition_0_ID 14829
Response_110_Condition_0_Status Completed
Response_110_Condition_0_Logic Equal
Response_110_Condition_0_Ignore_NPC False

Response_110_Condition_1_Type Quest
Response_110_Condition_1_ID 14042
Response_110_Condition_1_Status Completed
Response_110_Condition_1_Logic Equal
Response_110_Condition_1_Ignore_NPC False

Response_110_Rewards 1
Response_110_Reward_0_Type Quest
Response_110_Reward_0_ID 14829

Response_111_Dialogue 12136
Response_111_Quest 14830
Response_111_Conditions 2
Response_111_Condition_0_Type Quest
Response_111_Condition_0_ID 14830
Response_111_Condition_0_Status None
Response_111_Condition_0_Logic Equal
Response_111_Condition_0_Ignore_NPC False

Response_111_Condition_1_Type Quest
Response_111_Condition_1_ID 14042
Response_111_Condition_1_Status Completed
Response_111_Condition_1_Logic Equal
Response_111_Condition_1_Ignore_NPC False

Response_111_Rewards 1
Response_111_Reward_0_Type Quest
Response_111_Reward_0_ID 14830

Response_112_Dialogue 12136
Response_112_Quest 14830
Response_112_Conditions 1
Response_112_Condition_0_Type Quest
Response_112_Condition_0_ID 14830
Response_112_Condition_0_Status Ready
Response_112_Condition_0_Logic Equal
Response_112_Condition_0_Ignore_NPC False
Response_112_Condition_0_Reset 

Response_113_Dialogue 12136
Response_113_Quest 14830
Response_113_Conditions 2
Response_113_Condition_0_Type Quest
Response_113_Condition_0_ID 14830
Response_113_Condition_0_Status Completed
Response_113_Condition_0_Logic Equal
Response_113_Condition_0_Ignore_NPC False

Response_113_Condition_1_Type Quest
Response_113_Condition_1_ID 14042
Response_113_Condition_1_Status Completed
Response_113_Condition_1_Logic Equal
Response_113_Condition_1_Ignore_NPC False

Response_113_Rewards 1
Response_113_Reward_0_Type Quest
Response_113_Reward_0_ID 14830

Response_114_Dialogue 12136
Response_114_Quest 14831
Response_114_Conditions 2
Response_114_Condition_0_Type Quest
Response_114_Condition_0_ID 14831
Response_114_Condition_0_Status None
Response_114_Condition_0_Logic Equal
Response_114_Condition_0_Ignore_NPC False

Response_114_Condition_1_Type Quest
Response_114_Condition_1_ID 14052
Response_114_Condition_1_Status Completed
Response_114_Condition_1_Logic Equal
Response_114_Condition_1_Ignore_NPC False

Response_114_Rewards 1
Response_114_Reward_0_Type Quest
Response_114_Reward_0_ID 14831

Response_115_Dialogue 12136
Response_115_Quest 14831
Response_115_Conditions 1
Response_115_Condition_0_Type Quest
Response_115_Condition_0_ID 14831
Response_115_Condition_0_Status Ready
Response_115_Condition_0_Logic Equal
Response_115_Condition_0_Ignore_NPC False
Response_115_Condition_0_Reset 

Response_116_Dialogue 12136
Response_116_Quest 14831
Response_116_Conditions 2
Response_116_Condition_0_Type Quest
Response_116_Condition_0_ID 14831
Response_116_Condition_0_Status Completed
Response_116_Condition_0_Logic Equal
Response_116_Condition_0_Ignore_NPC False

Response_116_Condition_1_Type Quest
Response_116_Condition_1_ID 14052
Response_116_Condition_1_Status Completed
Response_116_Condition_1_Logic Equal
Response_116_Condition_1_Ignore_NPC False

Response_116_Rewards 1
Response_116_Reward_0_Type Quest
Response_116_Reward_0_ID 14831

Response_117_Dialogue 12136
Response_117_Quest 14832
Response_117_Conditions 2
Response_117_Condition_0_Type Quest
Response_117_Condition_0_ID 14832
Response_117_Condition_0_Status None
Response_117_Condition_0_Logic Equal
Response_117_Condition_0_Ignore_NPC False

Response_117_Condition_1_Type Quest
Response_117_Condition_1_ID 14041
Response_117_Condition_1_Status Completed
Response_117_Condition_1_Logic Equal
Response_117_Condition_1_Ignore_NPC False

Response_117_Rewards 1
Response_117_Reward_0_Type Quest
Response_117_Reward_0_ID 14832

Response_118_Dialogue 12136
Response_118_Quest 14832
Response_118_Conditions 1
Response_118_Condition_0_Type Quest
Response_118_Condition_0_ID 14831
Response_118_Condition_0_Status Ready
Response_118_Condition_0_Logic Equal
Response_118_Condition_0_Ignore_NPC False
Response_118_Condition_0_Reset 

Response_119_Dialogue 12136
Response_119_Quest 14832
Response_119_Conditions 2
Response_119_Condition_0_Type Quest
Response_119_Condition_0_ID 14832
Response_119_Condition_0_Status Completed
Response_119_Condition_0_Logic Equal
Response_119_Condition_0_Ignore_NPC False

Response_119_Condition_1_Type Quest
Response_119_Condition_1_ID 14041
Response_119_Condition_1_Status Completed
Response_119_Condition_1_Logic Equal
Response_119_Condition_1_Ignore_NPC False

Response_119_Rewards 1
Response_119_Reward_0_Type Quest
Response_119_Reward_0_ID 14832

Response_120_Dialogue 12136
Response_120_Quest 14833
Response_120_Conditions 2
Response_120_Condition_0_Type Quest
Response_120_Condition_0_ID 14833
Response_120_Condition_0_Status None
Response_120_Condition_0_Logic Equal
Response_120_Condition_0_Ignore_NPC False

Response_120_Condition_1_Type Quest
Response_120_Condition_1_ID 14041
Response_120_Condition_1_Status Completed
Response_120_Condition_1_Logic Equal
Response_120_Condition_1_Ignore_NPC False

Response_120_Rewards 1
Response_120_Reward_0_Type Quest
Response_120_Reward_0_ID 14833

Response_121_Dialogue 12136
Response_121_Quest 14833
Response_121_Conditions 1
Response_121_Condition_0_Type Quest
Response_121_Condition_0_ID 14833
Response_121_Condition_0_Status Ready
Response_121_Condition_0_Logic Equal
Response_121_Condition_0_Ignore_NPC False
Response_121_Condition_0_Reset 

Response_122_Dialogue 12136
Response_122_Quest 14833
Response_122_Conditions 2
Response_122_Condition_0_Type Quest
Response_122_Condition_0_ID 14833
Response_122_Condition_0_Status Completed
Response_122_Condition_0_Logic Equal
Response_122_Condition_0_Ignore_NPC False

Response_122_Condition_1_Type Quest
Response_122_Condition_1_ID 14041
Response_122_Condition_1_Status Completed
Response_122_Condition_1_Logic Equal
Response_122_Condition_1_Ignore_NPC False

Response_122_Rewards 1
Response_122_Reward_0_Type Quest
Response_122_Reward_0_ID 14833

Response_123_Dialogue 12136
Response_123_Quest 14834
Response_123_Conditions 2
Response_123_Condition_0_Type Quest
Response_123_Condition_0_ID 14834
Response_123_Condition_0_Status None
Response_123_Condition_0_Logic Equal
Response_123_Condition_0_Ignore_NPC False

Response_123_Condition_1_Type Quest
Response_123_Condition_1_ID 14039
Response_123_Condition_1_Status Completed
Response_123_Condition_1_Logic Equal
Response_123_Condition_1_Ignore_NPC False

Response_123_Rewards 1
Response_123_Reward_0_Type Quest
Response_123_Reward_0_ID 14834

Response_124_Dialogue 12136
Response_124_Quest 14834
Response_124_Conditions 1
Response_124_Condition_0_Type Quest
Response_124_Condition_0_ID 14834
Response_124_Condition_0_Status Ready
Response_124_Condition_0_Logic Equal
Response_124_Condition_0_Ignore_NPC False
Response_124_Condition_0_Reset 

Response_125_Dialogue 12136
Response_125_Quest 14834
Response_125_Conditions 2
Response_125_Condition_0_Type Quest
Response_125_Condition_0_ID 14834
Response_125_Condition_0_Status Completed
Response_125_Condition_0_Logic Equal
Response_125_Condition_0_Ignore_NPC False

Response_125_Condition_1_Type Quest
Response_125_Condition_1_ID 14039
Response_125_Condition_1_Status Completed
Response_125_Condition_1_Logic Equal
Response_125_Condition_1_Ignore_NPC False

Response_125_Rewards 1
Response_125_Reward_0_Type Quest
Response_125_Reward_0_ID 14834

Response_126_Dialogue 12136
Response_126_Quest 14835
Response_126_Conditions 2
Response_126_Condition_0_Type Quest
Response_126_Condition_0_ID 14835
Response_126_Condition_0_Status None
Response_126_Condition_0_Logic Equal
Response_126_Condition_0_Ignore_NPC False

Response_126_Condition_1_Type Quest
Response_126_Condition_1_ID 14036
Response_126_Condition_1_Status Completed
Response_126_Condition_1_Logic Equal
Response_126_Condition_1_Ignore_NPC False

Response_126_Rewards 1
Response_126_Reward_0_Type Quest
Response_126_Reward_0_ID 14835

Response_127_Dialogue 12136
Response_127_Quest 14835
Response_127_Conditions 1
Response_127_Condition_0_Type Quest
Response_127_Condition_0_ID 14835
Response_127_Condition_0_Status Ready
Response_127_Condition_0_Logic Equal
Response_127_Condition_0_Ignore_NPC False
Response_127_Condition_0_Reset 

Response_128_Dialogue 12136
Response_128_Quest 14835
Response_128_Conditions 2
Response_128_Condition_0_Type Quest
Response_128_Condition_0_ID 14835
Response_128_Condition_0_Status Completed
Response_128_Condition_0_Logic Equal
Response_128_Condition_0_Ignore_NPC False

Response_128_Condition_1_Type Quest
Response_128_Condition_1_ID 14036
Response_128_Condition_1_Status Completed
Response_128_Condition_1_Logic Equal
Response_128_Condition_1_Ignore_NPC False

Response_128_Rewards 1
Response_128_Reward_0_Type Quest
Response_128_Reward_0_ID 14835

Response_129_Dialogue 12136
Response_129_Quest 14836
Response_129_Conditions 2
Response_129_Condition_0_Type Quest
Response_129_Condition_0_ID 14836
Response_129_Condition_0_Status None
Response_129_Condition_0_Logic Equal
Response_129_Condition_0_Ignore_NPC False

Response_129_Condition_1_Type Quest
Response_129_Condition_1_ID 14036
Response_129_Condition_1_Status Completed
Response_129_Condition_1_Logic Equal
Response_129_Condition_1_Ignore_NPC False

Response_129_Rewards 1
Response_129_Reward_0_Type Quest
Response_129_Reward_0_ID 14836

Response_130_Dialogue 12136
Response_130_Quest 14836
Response_130_Conditions 1
Response_130_Condition_0_Type Quest
Response_130_Condition_0_ID 14836
Response_130_Condition_0_Status Ready
Response_130_Condition_0_Logic Equal
Response_130_Condition_0_Ignore_NPC False
Response_130_Condition_0_Reset 

Response_131_Dialogue 12136
Response_131_Quest 14836
Response_131_Conditions 2
Response_131_Condition_0_Type Quest
Response_131_Condition_0_ID 14836
Response_131_Condition_0_Status Completed
Response_131_Condition_0_Logic Equal
Response_131_Condition_0_Ignore_NPC False

Response_131_Condition_1_Type Quest
Response_131_Condition_1_ID 14036
Response_131_Condition_1_Status Completed
Response_131_Condition_1_Logic Equal
Response_131_Condition_1_Ignore_NPC False

Response_131_Rewards 1
Response_131_Reward_0_Type Quest
Response_131_Reward_0_ID 14836

Response_132_Dialogue 12136
Response_132_Quest 14837
Response_132_Conditions 1
Response_132_Condition_0_Type Quest
Response_132_Condition_0_ID 14837
Response_132_Condition_0_Status None
Response_132_Condition_0_Logic Equal
Response_132_Condition_0_Ignore_NPC False

Response_132_Rewards 1
Response_132_Reward_0_Type Quest
Response_132_Reward_0_ID 14837

Response_133_Dialogue 12136
Response_133_Quest 14837
Response_133_Conditions 1
Response_133_Condition_0_Type Quest
Response_133_Condition_0_ID 14837
Response_133_Condition_0_Status Ready
Response_133_Condition_0_Logic Equal
Response_133_Condition_0_Ignore_NPC False
Response_133_Condition_0_Reset 

Response_134_Dialogue 12136
Response_134_Quest 14837
Response_134_Conditions 1
Response_134_Condition_0_Type Quest
Response_134_Condition_0_ID 14837
Response_134_Condition_0_Status Completed
Response_134_Condition_0_Logic Equal
Response_134_Condition_0_Ignore_NPC False

Response_134_Rewards 1
Response_134_Reward_0_Type Quest
Response_134_Reward_0_ID 14837

Response_135_Dialogue 12136
Response_135_Quest 14838
Response_135_Conditions 1
Response_135_Condition_0_Type Quest
Response_135_Condition_0_ID 14838
Response_135_Condition_0_Status None
Response_135_Condition_0_Logic Equal
Response_135_Condition_0_Ignore_NPC False

Response_135_Rewards 1
Response_135_Reward_0_Type Quest
Response_135_Reward_0_ID 14838

Response_136_Dialogue 12136
Response_136_Quest 14838
Response_136_Conditions 1
Response_136_Condition_0_Type Quest
Response_136_Condition_0_ID 14838
Response_136_Condition_0_Status Ready
Response_136_Condition_0_Logic Equal
Response_136_Condition_0_Ignore_NPC False
Response_136_Condition_0_Reset 

Response_137_Dialogue 12136
Response_137_Quest 14838
Response_137_Conditions 1
Response_137_Condition_0_Type Quest
Response_137_Condition_0_ID 14838
Response_137_Condition_0_Status Completed
Response_137_Condition_0_Logic Equal
Response_137_Condition_0_Ignore_NPC False

Response_137_Rewards 1
Response_137_Reward_0_Type Quest
Response_137_Reward_0_ID 14838

Response_138_Dialogue 12136
Response_138_Quest 14839
Response_138_Conditions 2
Response_138_Condition_0_Type Quest
Response_138_Condition_0_ID 14839
Response_138_Condition_0_Status None
Response_138_Condition_0_Logic Equal
Response_138_Condition_0_Ignore_NPC False

Response_138_Condition_1_Type Quest
Response_138_Condition_1_ID 14044
Response_138_Condition_1_Status Completed
Response_138_Condition_1_Logic Equal
Response_138_Condition_1_Ignore_NPC False

Response_138_Rewards 1
Response_138_Reward_0_Type Quest
Response_138_Reward_0_ID 14839

Response_139_Dialogue 12136
Response_139_Quest 14839
Response_139_Conditions 1
Response_139_Condition_0_Type Quest
Response_139_Condition_0_ID 14839
Response_139_Condition_0_Status Ready
Response_139_Condition_0_Logic Equal
Response_139_Condition_0_Ignore_NPC False
Response_139_Condition_0_Reset 

Response_140_Dialogue 12136
Response_140_Quest 14839
Response_140_Conditions 2
Response_140_Condition_0_Type Quest
Response_140_Condition_0_ID 14839
Response_140_Condition_0_Status Completed
Response_140_Condition_0_Logic Equal
Response_140_Condition_0_Ignore_NPC False

Response_140_Condition_1_Type Quest
Response_140_Condition_1_ID 14044
Response_140_Condition_1_Status Completed
Response_140_Condition_1_Logic Equal
Response_140_Condition_1_Ignore_NPC False

Response_140_Rewards 1
Response_140_Reward_0_Type Quest
Response_140_Reward_0_ID 14839

Response_141_Dialogue 12136
Response_141_Quest 14840
Response_141_Conditions 2
Response_141_Condition_0_Type Quest
Response_141_Condition_0_ID 14840
Response_141_Condition_0_Status None
Response_141_Condition_0_Logic Equal
Response_141_Condition_0_Ignore_NPC False

Response_141_Condition_1_Type Quest
Response_141_Condition_1_ID 14044
Response_141_Condition_1_Status Completed
Response_141_Condition_1_Logic Equal
Response_141_Condition_1_Ignore_NPC False

Response_141_Rewards 1
Response_141_Reward_0_Type Quest
Response_141_Reward_0_ID 14840

Response_142_Dialogue 12136
Response_142_Quest 14840
Response_142_Conditions 1
Response_142_Condition_0_Type Quest
Response_142_Condition_0_ID 14840
Response_142_Condition_0_Status Ready
Response_142_Condition_0_Logic Equal
Response_142_Condition_0_Ignore_NPC False
Response_142_Condition_0_Reset 

Response_143_Dialogue 12136
Response_143_Quest 14840
Response_143_Conditions 2
